[2017-11-26 17:50:22,652]-[log.py]-INFO:获取姓名错误提示文本
[2017-11-26 17:50:22,652]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:50:22,653]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:50:22,678]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:50:23,787]-[log.py]-INFO:点击后台管理
[2017-11-26 17:50:23,855]-[log.py]-INFO:点击组织
[2017-11-26 17:50:25,932]-[log.py]-INFO:点击添加成员
[2017-11-26 17:50:26,326]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:50:26,828]-[log.py]-INFO:选择性别
[2017-11-26 17:50:26,876]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:50:27,060]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:50:27,255]-[log.py]-INFO:点击保存
[2017-11-26 17:50:28,323]-[log.py]-INFO:获取url
[2017-11-26 17:50:29,404]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:50:29,405]-[log.py]-INFO:获取姓名错误提示文本
[2017-11-26 17:50:29,406]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:50:29,406]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:50:29,430]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:50:30,545]-[log.py]-INFO:点击后台管理
[2017-11-26 17:50:30,600]-[log.py]-INFO:点击组织
[2017-11-26 17:50:32,645]-[log.py]-INFO:点击添加成员
[2017-11-26 17:50:33,051]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:50:33,484]-[log.py]-INFO:选择性别
[2017-11-26 17:50:33,526]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:50:33,710]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:50:33,854]-[log.py]-INFO:点击保存
[2017-11-26 17:50:34,909]-[log.py]-INFO:获取url
[2017-11-26 17:50:35,971]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:50:35,971]-[log.py]-INFO:获取姓名错误提示文本
[2017-11-26 17:50:35,972]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:50:35,973]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:50:35,973]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:50:37,108]-[log.py]-INFO:点击后台管理
[2017-11-26 17:50:37,158]-[log.py]-INFO:点击组织
[2017-11-26 17:50:39,222]-[log.py]-INFO:点击添加成员
[2017-11-26 17:50:39,746]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:50:40,183]-[log.py]-INFO:选择性别
[2017-11-26 17:50:40,241]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:50:40,433]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:50:40,610]-[log.py]-INFO:点击保存
[2017-11-26 17:50:41,655]-[log.py]-INFO:获取url
[2017-11-26 17:50:42,784]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:50:42,812]-[log.py]-INFO:获取姓名错误提示文本
[2017-11-26 17:50:42,813]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:50:42,814]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:50:42,814]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:50:43,924]-[log.py]-INFO:点击后台管理
[2017-11-26 17:50:43,983]-[log.py]-INFO:点击组织
[2017-11-26 17:50:46,042]-[log.py]-INFO:点击添加成员
[2017-11-26 17:50:46,361]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:50:46,722]-[log.py]-INFO:选择性别
[2017-11-26 17:50:46,766]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:50:46,945]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:50:47,096]-[log.py]-INFO:点击保存
[2017-11-26 17:50:48,145]-[log.py]-INFO:获取url
[2017-11-26 17:50:49,220]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:50:49,243]-[log.py]-INFO:获取姓名错误提示文本
[2017-11-26 17:50:49,244]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:50:49,244]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:50:49,245]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:50:50,354]-[log.py]-INFO:点击后台管理
[2017-11-26 17:50:50,427]-[log.py]-INFO:点击组织
[2017-11-26 17:50:52,496]-[log.py]-INFO:点击添加成员
[2017-11-26 17:50:52,796]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:50:53,183]-[log.py]-INFO:选择性别
[2017-11-26 17:50:53,226]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:50:53,439]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:50:53,660]-[log.py]-INFO:点击保存
[2017-11-26 17:50:54,704]-[log.py]-INFO:获取url
[2017-11-26 17:50:55,794]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:50:55,794]-[log.py]-INFO:获取姓名错误提示文本
[2017-11-26 17:50:55,795]-[log.py]-INFO:获取角色错误提示文本
[2017-11-26 17:50:55,796]-[log.py]-INFO:获取密码错误提示文本
[2017-11-26 17:50:55,796]-[log.py]-INFO:获取邮箱错误提示文本
[2017-11-26 17:50:56,932]-[log.py]-INFO:点击后台管理
[2017-11-26 17:50:56,997]-[log.py]-INFO:点击组织
[2017-11-26 17:50:59,063]-[log.py]-INFO:点击添加成员
[2017-11-26 17:50:59,382]-[log.py]-INFO:输入用户名，真实姓名
[2017-11-26 17:50:59,817]-[log.py]-INFO:选择性别
[2017-11-26 17:50:59,868]-[log.py]-INFO:选择部门，角色
[2017-11-26 17:51:00,106]-[log.py]-INFO:输入密码，重复密码，邮箱
[2017-11-26 17:51:00,279]-[log.py]-INFO:点击保存
[2017-11-26 17:51:01,332]-[log.py]-INFO:获取url
[2017-11-26 17:51:02,439]-[log.py]-INFO:获取用户名错误提示文本
[2017-11-26 17:51:02,464]-[log.py]-INFO:获取姓名错误提示文本
